id, areacode, number, time
1,289,2893810102,2.8172505
2,905,9053276295,5.6829966
6,905,9059916362,3.9606213
7,289,2894008468,3.8296038
11,905,9054153113,4.1683345
12,365,3656735960,7.2711752
14,289,2890383906,4.2153324
16,365,3652505951,4.4701069
17,519,5196490582,4.4052564
18,519,5192763847,6.1543697
19,365,3650989770,4.2607963
21,519,5196700993,3.8413789
22,519,5196478259,4.7839452
27,519,5197552277,3.4590351
30,519,5190391469,6.0195803
31,519,5190939114,3.8061774
32,905,9059860812,5.8592703
33,365,3651600858,5.8797235
34,289,2890456506,4.4726343
35,519,5198630900,4.0590433
36,519,5192864112,3.7123648
37,905,9056066635,4.1875121
38,289,2891052276,4.2024827
39,365,3654310469,4.7425253
40,519,5196972494,4.326926
41,905,9057811079,4.4806712
43,519,5198823217,3.9874601
44,289,2890985879,4.4706173
45,289,2890141172,4.0505547
46,289,2891022787,4.0939803
47,519,5199096287,3.8258818
48,905,9052212671,4.2166794
49,905,9059045219,4.1094242
51,519,5196260038,4.2942749
54,365,3658322512,5.1199526
55,289,2898617734,4.2912967
56,519,5193002631,4.1642541
57,289,2890698844,3.7004485
58,905,9057762188,3.9106146
59,289,2893706433,4.9617234
60,289,2893404826,5.233627
62,289,2898532765,4.6779807
64,519,5190683745,4.853039
65,289,2898233303,3.2053057
67,519,5193915872,4.9784192
68,905,9053887560,5.1655461
70,289,2899874792,4.0403538
73,289,2897000187,3.9642146
74,289,2897098100,4.318342
75,519,5193745144,4.7791285
76,905,9054295579,7.0169787
79,519,5192700857,4.2436068
80,905,9050339142,3.8309064
83,905,9051006264,3.8233687
84,905,9058284561,3.4642399
88,289,2898887601,3.3234219
89,289,2893848289,4.3905829
90,905,9051035745,4.9143825
91,365,3654351728,5.1136366
92,905,9059785887,3.4335089
93,519,5192132237,3.7586046
94,905,9059708964,3.7425569
96,365,3652871654,3.8777503
98,519,5195731016,3.62164
101,519,5194466267,3.4653423
104,365,3658814474,4.7536077
105,905,9054285045,5.3163116
106,289,2898918560,3.8902699
108,519,5198890376,4.1453666
109,519,5197625563,3.528664
110,365,3654046340,4.0146605
111,519,5198267536,4.2363291
112,289,2895661037,4.0076428
114,289,2891128456,2.6894822
117,289,2890581359,3.633507
118,365,3657649973,3.8586933
121,365,3658339175,4.1325716
122,519,5196357955,4.026749
124,289,2890561807,4.385022
125,365,3650814254,4.1798228
126,905,9051447893,4.0854586
127,289,2899800100,3.5891624
129,519,5190629911,4.1275175
130,289,2895848791,4.3037412
132,905,9059788103,4.1303841
133,519,5192503493,4.4007459
136,289,2896430540,3.7615487
137,289,2894334646,2.8043192
138,519,5192338018,4.3972463
141,289,2893495383,5.6465693
142,365,3653490549,4.2647006
143,365,3652863296,6.1707561
144,289,2890956734,4.1258356
145,289,2893417290,4.4068934
146,365,3658435057,5.3545412
149,365,3655579897,3.3281983
151,289,2894019982,4.7676051
152,519,5195538731,3.4593665
153,289,2890558484,3.0848298
154,519,5191185984,4.6973052
